% 1. Title: Face Biometrics Database
% 
% 2. Sources:
%      (a) Creator: Hugh Pearse
%      (b) Donor: University of Essex
%      (c) Date: October 2013
% 
@RELATION angles

@ATTRIBUTE row1  NUMERIC
@ATTRIBUTE row2  NUMERIC
@ATTRIBUTE row3  NUMERIC
@ATTRIBUTE row4  NUMERIC
@ATTRIBUTE row5  NUMERIC
@ATTRIBUTE row6  NUMERIC
@ATTRIBUTE row7  NUMERIC
@ATTRIBUTE row8  NUMERIC
@ATTRIBUTE row9  NUMERIC
@ATTRIBUTE row10  NUMERIC
@ATTRIBUTE file string

@DATA
31,34,59,35,170,180,170,23,67,23,9326871.10.jpg
38,33,49,34,170,180,170,24,66,26,9326871.11.jpg
35,30,56,33,170,180,170,24,66,22,9326871.12.jpg
38,33,48,29,170,180,170,24,66,22,9326871.13.jpg
35,34,51,33,180,180,180,24,67,26,9326871.14.jpg
35,30,56,33,180,180,180,24,66,26,9326871.15.jpg
35,29,56,33,180,180,180,25,67,27,9326871.16.jpg
35,30,63,36,170,180,170,24,66,22,9326871.17.jpg
38,33,56,31,180,180,180,24,66,26,9326871.18.jpg
34,40,53,36,170,180,170,19,64,22,9326871.19.jpg
35,30,56,34,180,180,180,24,66,22,9326871.1.jpg
32,37,53,30,176,172,168,23,67,26,9326871.20.jpg
38,29,57,35,168,180,168,25,65,27,9326871.2.jpg
38,34,56,36,180,180,180,24,62,25,9326871.3.jpg
35,34,51,33,180,180,180,24,67,23,9326871.4.jpg
35,27,59,33,180,180,180,24,66,22,9326871.5.jpg
35,30,56,33,180,180,180,24,66,26,9326871.6.jpg
35,31,56,33,180,180,180,24,67,26,9326871.7.jpg
35,30,57,38,180,180,180,24,66,26,9326871.8.jpg
35,32,58,34,168,180,168,24,67,26,9326871.9.jpg
42,33,54,29,180,180,180,27,64,25,9332898.10.jpg
42,34,54,32,180,180,180,28,67,26,9332898.11.jpg
41,32,51,32,180,180,180,27,66,26,9332898.12.jpg
35,25,63,33,180,180,180,27,66,26,9332898.13.jpg
42,37,54,32,180,180,180,26,63,23,9332898.14.jpg
42,32,49,30,180,180,180,28,67,26,9332898.15.jpg
35,33,60,35,180,180,180,26,67,23,9332898.16.jpg
38,30,59,35,180,180,180,28,65,25,9332898.17.jpg
41,31,51,28,180,180,180,27,66,26,9332898.18.jpg
37,37,54,36,180,180,180,24,66,26,9332898.19.jpg
41,32,51,32,180,180,180,27,66,26,9332898.1.jpg
38,35,48,30,180,180,180,27,67,26,9332898.20.jpg
34,32,61,38,180,180,180,24,66,26,9332898.2.jpg
42,33,54,32,167,180,167,28,62,26,9332898.3.jpg
36,25,111,38,180,180,180,28,65,25,9332898.4.jpg
37,37,60,36,180,180,180,24,65,25,9332898.5.jpg
45,30,56,29,159,167,172,31,64,25,9332898.6.jpg
44,30,51,28,172,180,172,29,64,25,9332898.7.jpg
41,39,56,33,180,180,180,24,66,26,9332898.8.jpg
44,35,52,29,180,180,180,28,67,26,9332898.9.jpg
34,40,54,36,180,180,180,24,70,30,9336923.10.jpg
30,36,119,37,172,172,180,22,73,29,9336923.14.jpg
29,40,49,33,171,171,180,23,77,29,9336923.17.jpg
26,39,61,39,172,172,180,19,73,29,9336923.1.jpg
30,39,52,32,171,171,180,22,72,25,9336923.8.jpg
30,39,58,37,172,172,180,22,71,29,9336923.9.jpg
26,39,61,39,172,172,180,19,73,29,9336923.jpg
42,33,57,34,180,180,180,29,75,31,9338446.10.jpg
39,33,54,31,180,180,180,34,80,32,9338446.11.jpg
41,29,52,30,180,180,180,35,79,31,9338446.12.jpg
36,37,49,33,172,180,172,30,88,32,9338446.13.jpg
36,32,60,34,171,180,171,32,80,36,9338446.14.jpg
38,35,55,34,180,180,180,29,73,31,9338446.15.jpg
35,35,54,32,171,180,171,27,75,27,9338446.16.jpg
43,34,49,31,173,180,173,31,72,26,9338446.17.jpg
42,34,43,30,170,180,170,30,70,26,9338446.1.jpg
36,34,54,32,180,180,180,28,76,29,9338446.20.jpg
39,35,43,28,170,180,170,32,76,31,9338446.2.jpg
43,31,44,27,168,168,180,33,77,31,9338446.3.jpg
37,30,51,30,179,172,173,33,77,26,9338446.4.jpg
39,32,45,28,180,180,180,31,77,32,9338446.5.jpg
39,32,45,28,180,180,180,31,77,32,9338446.6.jpg
40,33,44,29,171,180,171,31,76,27,9338446.7.jpg
42,27,51,32,180,180,180,33,73,31,9338446.8.jpg
36,39,46,32,172,180,172,27,79,27,9338446.9.jpg
36,38,44,34,180,180,180,26,73,29,9338454.10.jpg
34,34,50,39,180,180,180,26,72,26,9338454.11.jpg
36,33,50,34,172,172,180,26,73,29,9338454.12.jpg
35,32,51,38,180,180,180,27,71,26,9338454.13.jpg
36,34,49,34,180,180,180,26,73,29,9338454.14.jpg
36,34,49,34,180,180,180,26,73,29,9338454.15.jpg
32,31,56,37,180,180,180,26,74,30,9338454.16.jpg
35,29,57,33,173,173,180,27,71,26,9338454.17.jpg
36,34,49,34,180,180,180,26,73,29,9338454.18.jpg
36,38,44,34,172,180,172,26,73,29,9338454.19.jpg
36,38,44,34,180,180,180,26,73,26,9338454.1.jpg
38,30,51,33,180,180,180,29,71,30,9338454.20.jpg
31,37,57,38,180,180,180,23,71,26,9338454.2.jpg
35,38,44,36,170,170,180,24,73,29,9338454.3.jpg
36,39,43,38,172,180,172,26,70,30,9338454.4.jpg
36,34,50,34,172,180,172,26,70,26,9338454.5.jpg
33,35,49,36,180,180,180,26,70,29,9338454.6.jpg
36,33,50,34,180,180,180,26,73,29,9338454.7.jpg
38,32,51,33,180,180,180,29,71,26,9338454.8.jpg
34,38,45,37,159,170,170,24,70,26,9338454.9.jpg
37,36,58,33,162,171,171,27,83,33,9338462.10.jpg
39,36,59,34,180,180,180,26,78,28,9338462.11.jpg
40,38,47,36,169,169,180,26,80,32,9338462.13.jpg
41,36,57,33,171,180,171,27,77,34,9338462.14.jpg
34,35,55,32,171,171,180,28,82,32,9338462.15.jpg
41,30,60,32,159,169,171,30,72,28,9338462.16.jpg
42,36,48,25,180,180,180,31,81,33,9338462.17.jpg
42,36,48,28,180,180,180,31,81,29,9338462.18.jpg
40,34,55,33,169,169,180,30,74,28,9338462.19.jpg
36,37,59,37,161,169,172,26,78,28,9338462.20.jpg
39,34,63,34,172,180,172,26,78,29,9338462.6.jpg
33,40,57,33,171,180,171,24,82,36,9338462.7.jpg
39,38,57,34,180,180,180,26,78,32,9338462.8.jpg
39,33,63,34,180,180,180,26,82,32,9338462.9.jpg
40,33,56,34,180,168,168,25,62,23,9338489.10.jpg
36,37,58,35,168,168,180,23,60,22,9338489.11.jpg
43,41,47,32,165,165,180,25,62,28,9338489.12.jpg
37,36,58,34,168,168,180,23,62,23,9338489.13.jpg
34,40,52,34,180,169,169,22,69,28,9338489.14.jpg
32,40,54,37,180,169,169,20,66,25,9338489.15.jpg
35,49,45,34,180,169,169,20,66,25,9338489.16.jpg
38,40,56,31,180,169,169,22,61,20,9338489.17.jpg
32,41,62,35,179,171,171,20,69,24,9338489.18.jpg
36,39,111,39,175,165,170,20,64,25,9338489.19.jpg
38,43,47,35,168,168,180,22,63,25,9338489.1.jpg
34,49,47,31,171,171,180,20,65,26,9338489.20.jpg
36,33,58,37,180,180,180,25,63,27,9338489.2.jpg
38,37,52,35,171,180,171,25,67,28,9338489.3.jpg
39,44,41,30,180,180,180,23,63,28,9338489.4.jpg
37,40,50,38,168,168,180,23,62,23,9338489.5.jpg
36,36,53,37,170,170,180,25,65,23,9338489.6.jpg
39,40,59,34,180,180,180,23,62,24,9338489.7.jpg
37,38,50,33,178,170,168,25,66,23,9338489.8.jpg
37,40,57,37,177,165,168,21,62,27,9338489.9.jpg
28,44,54,37,180,170,170,21,74,27,9338497.10.jpg
31,42,63,44,170,180,170,20,70,28,9338497.11.jpg
31,42,60,44,170,180,170,20,69,27,9338497.12.jpg
36,39,57,40,170,180,170,24,70,28,9338497.13.jpg
30,42,117,41,171,180,171,19,71,27,9338497.14.jpg
38,37,53,37,168,168,180,25,77,31,9338497.15.jpg
28,42,58,41,180,170,170,21,74,27,9338497.16.jpg
27,44,61,45,170,180,170,19,73,27,9338497.17.jpg
30,44,54,41,170,180,170,19,69,27,9338497.18.jpg
30,44,61,46,170,180,170,19,69,27,9338497.19.jpg
31,44,49,39,170,180,170,20,73,30,9338497.1.jpg
27,42,116,45,170,180,170,19,73,27,9338497.20.jpg
30,42,61,46,172,180,172,19,73,27,9338497.2.jpg
31,43,60,44,170,180,170,20,70,28,9338497.3.jpg
33,44,54,46,171,180,171,19,71,27,9338497.4.jpg
28,43,60,47,170,180,170,20,74,28,9338497.5.jpg
28,42,60,43,180,170,170,20,73,27,9338497.6.jpg
31,43,60,44,170,180,170,20,70,28,9338497.7.jpg
28,41,115,47,170,180,170,20,70,28,9338497.8.jpg
32,42,57,40,178,168,170,22,71,28,9338497.9.jpg
42,25,51,34,171,180,171,34,76,28,9338519.10.jpg
45,28,45,31,180,180,180,34,76,28,9338519.11.jpg
42,30,45,34,171,180,171,33,75,31,9338519.12.jpg
42,31,45,31,180,180,180,33,73,29,9338519.13.jpg
48,28,45,28,171,180,171,34,72,28,9338519.14.jpg
45,30,44,31,171,180,171,34,72,24,9338519.15.jpg
42,27,51,34,171,180,171,34,76,28,9338519.16.jpg
44,30,52,29,171,180,171,33,71,27,9338519.17.jpg
42,27,56,32,180,180,180,33,71,23,9338519.18.jpg
42,27,56,32,180,180,180,33,75,23,9338519.19.jpg
42,34,39,31,180,180,180,32,72,28,9338519.1.jpg
41,32,50,35,171,180,171,31,73,25,9338519.20.jpg
41,35,40,34,180,180,180,30,72,28,9338519.2.jpg
39,31,45,30,171,171,180,33,77,29,9338519.3.jpg
41,35,40,34,180,180,180,30,72,28,9338519.4.jpg
45,33,40,31,180,180,180,34,72,24,9338519.5.jpg
41,31,45,34,180,180,180,30,72,24,9338519.6.jpg
41,35,40,34,180,180,180,30,72,28,9338519.7.jpg
41,36,45,35,171,180,171,30,72,28,9338519.8.jpg
41,32,50,35,171,180,171,31,73,29,9338519.9.jpg
44,32,119,34,180,180,180,25,59,21,9338527.10.jpg
45,36,48,32,171,171,180,25,61,22,9338527.11.jpg
41,32,56,32,170,180,170,25,62,21,9338527.12.jpg
41,33,59,33,180,180,180,25,59,21,9338527.13.jpg
45,34,57,29,180,180,180,25,61,21,9338527.14.jpg
44,32,52,30,167,180,167,27,59,24,9338527.15.jpg
42,36,53,32,167,180,167,25,60,25,9338527.16.jpg
46,32,49,25,180,180,180,29,63,21,9338527.17.jpg
40,31,63,40,160,171,170,24,61,21,9338527.18.jpg
49,38,49,30,180,180,180,28,53,18,9338527.19.jpg
46,27,54,29,180,180,180,32,60,21,9338527.1.jpg
45,40,50,33,172,180,172,25,61,22,9338527.20.jpg
41,34,54,34,180,180,180,28,60,22,9338527.2.jpg
49,26,56,26,180,180,180,32,60,25,9338527.3.jpg
42,31,60,29,169,180,169,27,63,21,9338527.4.jpg
44,27,61,27,169,180,169,29,62,20,9338527.5.jpg
41,32,60,31,172,180,172,26,63,24,9338527.6.jpg
44,32,51,24,169,180,169,29,62,20,9338527.7.jpg
45,32,60,31,172,180,172,26,59,24,9338527.8.jpg
41,35,55,33,171,171,180,24,63,24,9338527.9.jpg
35,34,113,34,180,180,180,22,63,23,9338535.10.jpg
42,34,50,29,180,180,180,26,61,24,9338535.11.jpg
39,34,50,28,169,169,180,26,65,24,9338535.12.jpg
40,31,52,34,180,180,180,27,66,21,9338535.13.jpg
44,35,41,24,180,180,180,27,63,24,9338535.14.jpg
42,36,45,29,180,180,180,28,62,24,9338535.15.jpg
42,32,50,36,180,180,180,27,64,24,9338535.16.jpg
45,29,45,25,172,180,172,30,64,23,9338535.17.jpg
45,29,51,26,180,180,180,30,64,23,9338535.18.jpg
39,30,55,28,180,180,180,26,65,28,9338535.19.jpg
39,35,46,24,180,180,180,26,65,24,9338535.1.jpg
42,32,44,30,180,180,180,27,61,24,9338535.20.jpg
39,34,50,28,171,180,171,26,64,24,9338535.2.jpg
42,30,51,26,172,180,172,29,64,23,9338535.3.jpg
39,34,50,28,180,180,180,26,65,24,9338535.4.jpg
39,25,57,28,169,169,180,29,62,24,9338535.5.jpg
42,25,53,26,169,169,180,29,66,24,9338535.6.jpg
44,28,58,30,180,180,180,27,62,24,9338535.7.jpg
38,31,62,34,169,169,180,26,66,24,9338535.8.jpg
34,35,60,33,171,180,171,22,65,20,9338535.9.jpg
39,35,46,24,180,180,180,26,65,24,9338535.jpg
38,30,50,29,173,180,173,32,74,28,9338543.10.jpg
41,30,56,33,163,173,170,32,70,24,9338543.11.jpg
46,26,49,30,171,180,171,36,74,26,9338543.14.jpg
41,32,47,31,170,180,170,31,73,27,9338543.1.jpg
40,30,58,32,170,180,170,31,70,27,9338543.2.jpg
41,34,51,32,161,168,173,32,70,29,9338543.3.jpg
41,30,57,32,173,180,173,32,70,24,9338543.4.jpg
38,30,57,31,173,180,173,32,74,28,9338543.5.jpg
39,31,56,31,170,180,170,31,73,31,9338543.6.jpg
42,30,56,32,170,180,170,31,69,23,9338543.7.jpg
42,29,57,31,170,180,170,31,69,27,9338543.8.jpg
39,30,55,30,170,180,170,31,73,27,9338543.9.jpg
42,26,58,30,180,180,180,33,70,30,9414649.10.jpg
42,32,56,27,180,180,180,31,68,28,9414649.11.jpg
39,29,58,27,172,172,180,31,64,25,9414649.12.jpg
41,27,50,27,170,170,180,34,65,25,9414649.13.jpg
45,33,45,27,170,180,170,33,70,30,9414649.14.jpg
42,26,50,27,170,170,180,34,69,25,9414649.15.jpg
42,25,58,33,180,180,180,33,70,26,9414649.16.jpg
45,30,48,27,167,167,180,33,70,30,9414649.17.jpg
42,25,58,33,180,180,180,33,70,30,9414649.18.jpg
46,30,48,37,170,180,170,33,69,29,9414649.19.jpg
38,32,51,29,180,180,180,29,70,26,9414649.1.jpg
42,26,58,33,180,180,180,33,70,26,9414649.20.jpg
38,34,48,26,170,170,180,31,66,26,9414649.2.jpg
38,28,58,26,170,170,180,31,70,26,9414649.3.jpg
42,29,45,23,170,170,180,35,70,26,9414649.4.jpg
42,25,57,27,171,171,180,35,64,28,9414649.5.jpg
39,33,49,25,170,170,180,31,65,25,9414649.6.jpg
42,25,52,23,170,170,180,35,70,26,9414649.7.jpg
45,33,45,23,169,169,180,31,69,27,9414649.8.jpg
42,30,54,31,164,172,172,32,67,25,9414649.9.jpg
45,39,50,29,180,180,180,25,61,21,9416994.10.jpg
32,44,114,39,180,180,180,18,62,22,9416994.11.jpg
32,40,58,36,178,167,170,20,66,26,9416994.12.jpg
41,33,55,30,179,171,170,26,65,25,9416994.13.jpg
37,33,112,37,180,180,180,23,61,25,9416994.14.jpg
38,36,60,33,180,180,180,25,64,25,9416994.15.jpg
32,43,60,37,172,172,180,20,62,21,9416994.16.jpg
41,34,56,27,180,180,180,27,62,24,9416994.17.jpg
39,37,57,33,180,180,180,25,63,21,9416994.18.jpg
46,30,49,29,169,180,169,30,63,21,9416994.19.jpg
31,40,60,36,171,171,180,20,65,25,9416994.1.jpg
37,40,56,33,180,180,180,24,66,26,9416994.20.jpg
38,37,55,33,180,180,180,25,61,25,9416994.2.jpg
38,36,54,32,180,180,180,25,64,25,9416994.3.jpg
38,36,54,32,180,180,180,25,64,25,9416994.4.jpg
37,36,54,35,167,167,180,23,64,25,9416994.5.jpg
29,37,116,42,171,171,180,20,65,25,9416994.6.jpg
38,37,61,31,180,180,180,25,64,22,9416994.7.jpg
37,37,55,36,169,169,180,23,64,22,9416994.8.jpg
41,37,55,30,180,180,180,25,61,22,9416994.9.jpg
38,36,50,29,168,168,180,28,68,30,admars.10.jpg
41,31,50,33,165,165,180,29,65,31,admars.11.jpg
45,31,45,33,180,180,180,31,65,27,admars.12.jpg
41,38,51,33,180,180,180,26,67,26,admars.13.jpg
37,31,56,31,180,180,180,26,67,26,admars.14.jpg
35,37,56,33,167,167,180,24,70,30,admars.15.jpg
38,30,58,33,180,180,180,28,68,30,admars.16.jpg
39,32,51,32,171,180,171,29,67,30,admars.17.jpg
37,34,57,37,180,180,180,26,68,30,admars.18.jpg
39,31,56,33,180,180,180,28,66,30,admars.19.jpg
